UnitID,Institution Name,Sector of institution (HD2017),Institution name alias (HD2017),Institution (entity) name (HD2017),Street address or post office box (HD2017),City location of institution (HD2017),ZIP code (HD2017),Institution's internet website address (HD2017),Financial aid office web address (HD2017),Admissions office web address (HD2017),Online application web address (HD2017),
108807,Allan Hancock College,4,,Allan Hancock College,800 South College Drive,Santa Maria,93454-6399,www.hancockcollege.edu/,www.hancockcollege.edu/financial_aid/index.php,www.hancockcollege.edu/admissions_records/,www.hancockcollege.edu/future_students/,
109208,American River College,4,American River | ARC,American River College,4700 College Oak Dr,Sacramento,95841-4286,www.arc.losrios.edu/,www.arc.losrios.edu/Support_Services/Financial_Aid.htm,www.arc.losrios.edu/prospective_students.htm,www.losrios.edu/lrc/lrc_app.php,
109350,Antelope Valley College,1,,Antelope Valley College,3041 West  Ave K,Lancaster,93536-5426,www.avc.edu,www.avc.edu/studentservices/finaid/,www.avc.edu/studentservices/adminrec/,www.avc.edu/studentservices/adminrec/applyonline,
109819,Bakersfield College,1,,Bakersfield College,1801 Panorama Dr,Bakersfield,93305-1299,www.bakersfieldcollege.edu/,www.bakersfieldcollege.edu/finaid/,www.bakersfieldcollege.edu/admissions/,https://www.bakersfieldcollege.edu/apply,
109907,Barstow Community College,4,,Barstow Community College,2700 Barstow Road,Barstow,92311,www.barstow.edu,www.barstow.edu/Financial-Aid.html,www.barstow.edu/Admission-and-Records.html,https://www.opencccapply.net/uPortal/render.userLayoutRootNode.uP;jsessionid=86B9659362962312D2CC17037DE6BBCB,
125170,Berkeley City College,4,,Berkeley City College,2050 Center Sreet,Berkeley,94704,www.berkeleycitycollege.edu/wp/,www.berkeleycitycollege.edu/wp/financial_aid/,www.berkeleycitycollege.edu/wp/menu-links/getting-started-at-bcc/,web.peralta.edu/admissions/enrollment-steps/,
110246,Butte College,4,,Butte College,3536 Butte Campus Drive,Oroville,95965-8399,www.butte.edu,www.butte.edu/financialaid/,www.butte.edu/admissions/,www.cccapply.org/apply/,
110334,Cabrillo College,4,,Cabrillo College,6500 Soquel Dr,Aptos,95003,www.cabrillo.edu,www.cabrillo.edu/services/finaid/,www.cabrillo.edu/services/ar/,www.cabrillo.edu/services/ar/apply-us.html,
110422,California Polytechnic State University-San Luis Obispo,1,Cal Poly,California Polytechnic State University-San Luis Obispo,1 Grand Ave.,San Luis Obispo,93407,calpoly.edu,financialaid.calpoly.edu/,admissions.calpoly.edu/,www2.calstate.edu/apply,
110529,California State Polytechnic University-Pomona,1,,California State Polytechnic University-Pomona,3801 West Temple Avenue,Pomona,91768,www.cpp.edu,www.cpp.edu/financial-aid/,www.cpp.edu/admissions/,https://www2.calstate.edu/apply,
111188,California State University Maritime Academy,1,California State University Maritime Academy,California State University Maritime Academy,200 Maritime Academy Dr,Vallejo,94590,https://www.csum.edu,https://www.csum.edu/web/financial-aid/home,https://www.csum.edu/web/admissions,https://www.csum.edu/web/admissions/admissions-process,
110486,California State University-Bakersfield,1,CSU Bakersfield,California State University-Bakersfield,9001 Stockdale Hwy,Bakersfield,93311-1099,www.csub.edu,www.csub.edu/FinAid/,www.csub.edu/Admissions/,https://www2.calstate.edu/apply,
441937,California State University-Channel Islands,1,CSU Channel Islands,California State University-Channel Islands,One University Dr,Camarillo,93012,www.csuci.edu,www.csuci.edu/financialaid/index.htm,www.csuci.edu/admissions/index.htm,https://www2.calstate.edu/apply,
110538,California State University-Chico,1,,California State University-Chico,First and Normal Sts,Chico,95929-0150,www.csuchico.edu,www.csuchico.edu/fa/,www.csuchico.edu/admissions/,https://www2.calstate.edu/apply,
110547,California State University-Dominguez Hills,1,CSUDH,California State University-Dominguez Hills,1000 E Victoria St,Carson,90747-0005,www.csudh.edu,www.csudh.edu/studentaffairs/financialaid/,www.csudh.edu/StudentAffairs/admissionsrecords/,https://www2.calstate.edu/apply,
110574,California State University-East Bay,1,Cal State East Bay,California State University-East Bay,25800 Carlos Bee Blvd,Hayward,94542,www.csueastbay.edu,www20.csueastbay.edu/prospective/cost-and-financial-aid/index.html,www20.csueastbay.edu/prospective/,https://www2.calstate.edu/apply,
110556,California State University-Fresno,1,,California State University-Fresno,5241 N Maple Ave,Fresno,93740,www.csufresno.edu,www.fresnostate.edu/studentaffairs/programs/financialaid/,fresnostate.edu/are/,https://www2.calstate.edu/apply,
110565,California State University-Fullerton,1,Cal State Fullerton,California State University-Fullerton,800 N State College Blvd,Fullerton,92831-3599,www.fullerton.edu,www.fullerton.edu/financialaid/,admissions.fullerton.edu,https://www2.calstate.edu/apply,
110583,California State University-Long Beach,1,Cal State Long Beach,California State University-Long Beach,1250 Bellflower Blvd,Long Beach,90840-0115,www.csulb.edu,www.csulb.edu/depts/enrollment/financial_aid/types_aid.html,www.csulb.edu/student-info/admissions.html,https://www2.calstate.edu/apply,
110592,California State University-Los Angeles,1,Cal State LA,California State University-Los Angeles,5151 State University Dr,Los Angeles,90032-8506,www.calstatela.edu,www.calstatela.edu/univ/finaid/,www.calstatela.edu/univ/admiss/,https://www2.calstate.edu/apply,
409698,California State University-Monterey Bay,1,CSUMB,California State University-Monterey Bay,100 Campus Center,Seaside,93955-8001,www.csumb.edu,csumb.edu/financialaid,csumb.edu/admissions,https://www2.calstate.edu/apply,
110608,California State University-Northridge,1,,California State University-Northridge,18111 Nordhoff St,Northridge,91330,https://www.csun.edu,www.csun.edu/financialaid/,www.csun.edu/admissions-records/,https://www2.calstate.edu/apply,
110617,California State University-Sacramento,1,Sacramento State,California State University-Sacramento,6000 J St,Sacramento,95819-2694,www.csus.edu,www.csus.edu/faid/,www.csus.edu/admissions/,https://www2.calstate.edu/apply,
110510,California State University-San Bernardino,1,Cal State San Bernardino,California State University-San Bernardino,5500 University Parkway,San Bernardino,92407-2397,www.csusb.edu,finaid.csusb.edu/,admissions.csusb.edu/,https://www2.calstate.edu/apply,
366711,California State University-San Marcos,1,,California State University-San Marcos,333 S Twin Oaks Valley Rd,San Marcos,92096-0001,www.csusm.edu,www.csusm.edu/finaid/,www.csusm.edu/admissions/,https://www2.calstate.edu/apply,
110495,California State University-Stanislaus,1,CSU Stanislaus,California State University-Stanislaus,One University Circle,Turlock,95382-0299,https://www.csustan.edu,https://www.csustan.edu/financial-aid-scholarships,https://www.csustan.edu/admissions,https://www2.calstate.edu/apply,
111434,Canada College,4,,Canada College,4200 Farm Hill Blvd.,Redwood City,94061-1099,canadacollege.edu,canadacollege.edu/financialaid,canadacollege.edu/admissions,canadacollege.edu/admissions/apply.php,
111887,Cerritos College,4,,Cerritos College,11110 Alondra Blvd,Norwalk,90650-6298,www.cerritos.edu,cms.cerritos.edu/financial-aid/,cms.cerritos.edu/admissions-and-records,cms.cerritos.edu/school-relations/future-students/,
111896,Cerro Coso Community College,4,,Cerro Coso Community College,3000 College Heights Blvd,Ridgecrest,93555-9571,cerrocoso.edu,https://www.cerrocoso.edu/studentservices/financial-aid,cerrocoso.edu/studentservices/admissions/,https://www.cerrocoso.edu/apply,
111920,Chabot College,4,,Chabot College,25555 Hesperian Blvd,Hayward,94545,www.chabotcollege.edu,www.chabotcollege.edu/finaid/,www.chabotcollege.edu/Admissions/,www.chabotcollege.edu/register/,
111939,Chaffey College,4,,Chaffey College,5885 Haven Ave,Rancho Cucamonga,91737-3002,www.chaffey.edu,www.chaffey.edu/finaid/index.shtml,www.chaffey.edu/admissions/index.shtml,www.chaffey.edu/admissions/onlinesvcs.shtml,
112172,Citrus College,4,,Citrus College,1000 W Foothill Blvd,Glendora,91741-1899,www.citruscollege.edu,www.citruscollege.edu/stdntsrv/finaid/Pages/default.aspx,www.citruscollege.edu/ar/Pages/default.aspx,www.citruscollege.edu/ar/Pages/ApplyingforAdmission.aspx,
